ss_sold_date_sk,ss_sold_time_sk,ss_item_sk,ss_customer_sk,ss_cdemo_sk,ss_hdemo_sk,ss_addr_sk,ss_store_sk,ss_promo_sk,ss_ticket_number,ss_quantity,ss_wholesale_cost,ss_list_price,ss_sales_price,ss_ext_discount_amt,ss_ext_sales_price,ss_ext_wholesale_cost,ss_ext_list_price,ss_ext_tax,ss_coupon_amt,ss_net_paid,ss_net_paid_inc_tax,ss_net_profit
,,58639,,,,173690,144,,171912,,53.10,,132.84,,,531.00,,53.13,,1328.40,,
2451745,35915,1913,760832,158319,469,139130,144,152,4881232,45,27.05,52.47,8.39,0.00,377.55,1217.25,2361.15,18.87,0.00,377.55,396.42,-839.70
2451563,33736,14834,676184,202921,6342,161674,22,70,4074745,61,32.26,82.90,65.49,0.00,3994.89,1967.86,5056.90,119.84,0.00,3994.89,4114.73,2027.03
2452265,48337,50629,269689,1198552,533,75279,88,388,8767269,79,79.15,170.17,62.96,0.00,4973.84,6252.85,13443.43,248.69,0.00,4973.84,5222.53,-1279.01
2452116,47678,6699,459649,1184181,3938,208879,43,117,8100917,3,11.42,11.42,10.27,0.00,30.81,34.26,34.26,0.92,0.00,30.81,31.73,-3.45
2451115,49106,20036,383318,955832,368,36252,116,317,1571740,86,68.73,184.19,165.77,2993.80,14256.22,5910.78,15840.34,225.24,2993.80,11262.42,11487.66,5351.64
2450991,32534,19750,198498,1732829,1540,219373,49,26,1096414,54,42.68,46.94,22.53,0.00,1216.62,2304.72,2534.76,24.33,0.00,1216.62,1240.95,-1088.10
2451423,32533,53791,124975,1209101,409,27002,144,320,3554091,42,16.63,18.29,1.09,0.00,45.78,698.46,768.18,2.28,0.00,45.78,48.06,-652.68
2452509,67370,54877,341884,561791,833,18270,104,445,9951558,75,42.68,60.60,47.87,0.00,3590.25,3201.00,4545.00,0.00,0.00,3590.25,3590.25,389.25
2452247,52332,23863,764510,1137819,474,127856,144,62,8706911,84,53.10,64.25,61.03,0.00,5126.52,4460.40,5397.00,256.32,0.00,5126.52,5382.84,666.12
2452476,58350,23863,591345,661003,1727,282863,144,242,9663532,54,42.68,118.65,56.95,0.00,3075.30,2304.72,6407.10,215.27,0.00,3075.30,3290.57,770.58
2451875,33534,53791,759071,1503143,5893,16515,80,354,6177389,39,21.84,21.84,6.98,0.00,272.22,851.76,851.76,0.00,0.00,272.22,272.22,-579.54
,50961,53791,758553,639720,350,8971,,,6919456,91,,,66.36,0.00,6038.76,2935.66,8160.88,301.93,0.00,,,
2451034,68471,14834,750609,1463749,5385,102470,144,20,1384240,44,21.84,49.35,15.79,0.00,694.76,960.96,2171.40,55.58,0.00,694.76,750.34,-266.20
2452849,38248,19752,552248,1306341,4768,229447,4,477,11769981,18,21.84,31.01,11.47,0.00,206.46,393.12,558.18,2.06,0.00,206.46,208.52,-186.66
2451799,29546,55403,765604,88311,287,303531,67,116,5451225,54,11.42,14.96,10.32,0.00,557.28,616.68,807.84,5.57,0.00,557.28,562.85,-59.40
2451218,67550,2962,633289,1413805,7072,202875,32,404,2150890,4,68.73,191.06,131.83,0.00,527.32,274.92,764.24,10.54,0.00,527.32,537.86,252.40
2450910,49455,20036,642722,1529684,2264,191922,97,424,603005,74,100.00,215.00,23.65,0.00,1750.10,7400.00,15910.00,17.50,0.00,1750.10,1767.60,-5649.90
2452384,68219,54877,755135,471558,1488,248516,32,378,9201195,8,58.31,162.10,77.80,168.04,622.40,466.48,1296.80,4.54,168.04,454.36,458.90,-12.12
2452082,70538,59439,262664,1201803,527,209123,144,260,7710218,13,58.31,95.04,95.04,0.00,1235.52,758.03,1235.52,0.00,0.00,1235.52,1235.52,477.49
2450911,66017,13981,754848,1609559,1800,341148,98,293,606014,31,21.84,26.42,20.87,0.00,646.97,677.04,819.02,6.46,0.00,646.97,653.43,-30.07
2452424,60141,22770,57260,719039,699,315661,144,390,9376195,44,53.10,147.61,140.22,0.00,6169.68,2336.40,6494.84,0.00,0.00,6169.68,6169.68,3833.28
2451860,50643,33793,450005,1764977,3929,15956,76,506,6009674,87,42.68,60.60,32.11,1508.52,2793.57,3713.16,5272.20,51.40,1508.52,1285.05,1336.45,-2428.11
2451851,33886,54877,582142,1240441,4102,250309,86,13,5912117,33,21.84,44.77,16.56,0.00,546.48,720.72,1477.41,32.78,0.00,546.48,579.26,-174.24
2451596,68405,33695,541305,117635,1901,229593,20,16,4285924,60,94.78,104.25,93.82,0.00,5629.20,5686.80,6255.00,281.46,0.00,5629.20,5910.66,-57.60
2452190,38098,53791,153631,1316133,832,15390,91,264,8507760,56,42.68,91.76,39.45,0.00,2209.20,2390.08,5138.56,176.73,0.00,2209.20,2385.93,-180.88
2452291,44502,19603,217941,1109733,3734,54770,144,433,8845262,31,11.42,21.01,10.08,0.00,312.48,354.02,651.31,3.12,0.00,312.48,315.60,-41.54
2450939,45885,54422,387082,1216314,3718,191266,43,97,670437,44,42.68,46.94,7.51,0.00,330.44,1877.92,2065.36,16.52,0.00,330.44,346.96,-1547.48
2451404,46513,11611,291024,639931,680,277813,86,186,3367534,13,11.42,12.56,5.40,0.00,70.20,148.46,163.28,4.21,0.00,70.20,74.41,-78.26
2452249,,25811,230988,1176831,3956,173494,,,8713631,4,84.36,,167.29,,669.16,337.44,904.32,,,,,
2451012,58648,14834,226592,1377693,1556,214436,37,226,1234833,23,89.57,249.00,131.97,0.00,3035.31,2060.11,5727.00,242.82,0.00,3035.31,3278.13,975.20
2452331,54293,41214,324804,1237011,1009,316507,91,29,8998212,30,11.42,13.81,12.42,0.00,372.60,342.60,414.30,0.00,0.00,372.60,372.60,30.00
2451132,68752,22898,592273,648331,291,294769,112,164,1663189,77,100.00,205.00,184.50,0.00,14206.50,7700.00,15785.00,142.06,0.00,14206.50,14348.56,6506.50
2452166,66716,13981,224201,762619,4787,10094,88,80,8421734,92,27.05,69.51,40.31,0.00,3708.52,2488.60,6394.92,296.68,0.00,3708.52,4005.20,1219.92
2452003,36615,32307,233045,1470942,1493,29182,22,164,7059659,9,6.21,6.21,4.28,0.00,38.52,55.89,55.89,1.92,0.00,38.52,40.44,-17.37
2451137,47924,12488,724607,367741,6331,46251,144,183,1701191,64,27.05,58.15,6.39,0.00,408.96,1731.20,3721.60,4.08,0.00,408.96,413.04,-1322.24
2452117,52423,14835,345069,1504611,1297,324902,109,211,8108346,36,58.31,125.36,99.03,0.00,3565.08,2099.16,4512.96,0.00,0.00,3565.08,3565.08,1465.92
2450848,53371,52138,755572,1452458,589,127883,109,23,288222,28,89.57,192.57,102.06,0.00,2857.68,2507.96,5391.96,171.46,0.00,2857.68,3029.14,349.72
2452780,67263,25812,573953,1860599,4129,160307,22,142,11558577,78,47.89,92.90,44.59,0.00,3478.02,3735.42,7246.20,104.34,0.00,3478.02,3582.36,-257.40
2451549,,54877,278799,1451483,,135400,98,48,4005045,,,,15.48,0.00,92.88,193.56,193.56,0.00,0.00,,92.88,-100.68
2450982,62845,46496,190927,1547989,3849,186300,144,366,1015694,29,6.21,14.03,9.68,235.80,280.72,180.09,406.87,0.00,235.80,44.92,44.92,-135.17
2451383,33211,55327,187124,1277841,2045,131341,144,362,3182891,46,100.00,289.00,138.72,0.00,6381.12,4600.00,13294.00,319.05,0.00,6381.12,6700.17,1781.12
2452074,44336,53791,1662,714383,6250,278913,32,110,7631809,19,11.42,31.74,15.23,0.00,289.37,216.98,603.06,26.04,0.00,289.37,315.41,72.39
2451373,36693,30463,123859,1273823,697,69881,67,227,3127889,29,89.57,211.38,101.46,0.00,2942.34,2597.53,6130.02,264.81,0.00,2942.34,3207.15,344.81
2451763,51163,42911,290878,1309163,2927,110117,50,330,5090503,88,1.00,1.21,0.64,0.00,56.32,88.00,106.48,2.81,0.00,56.32,59.13,-31.68
2452519,69819,14835,289076,1826507,4427,75118,91,364,10046569,76,84.36,234.52,100.84,0.00,7663.84,6411.36,17823.52,613.10,0.00,7663.84,8276.94,1252.48
2452878,42344,30463,307242,209182,1852,6554,50,308,11975012,5,84.36,253.08,174.62,0.00,873.10,421.80,1265.40,69.84,0.00,873.10,942.94,451.30
2452800,73722,23863,653067,237443,4089,214650,122,234,11602510,36,16.63,18.29,12.62,0.00,454.32,598.68,658.44,0.00,0.00,454.32,454.32,-144.36
2451164,36091,20036,592844,1738994,1552,157216,144,375,1913775,40,11.42,33.00,1.98,0.00,79.20,456.80,1320.00,4.75,0.00,79.20,83.95,-377.60
2451778,46754,19751,641902,1805833,1367,93478,144,268,5268205,83,42.68,128.04,47.37,0.00,3931.71,3542.44,10627.32,157.26,0.00,3931.71,4088.97,389.27
2452058,34810,29395,727330,1305759,5089,219403,73,376,7449737,14,73.94,104.99,16.79,0.00,235.06,1035.16,1469.86,2.35,0.00,235.06,237.41,-800.10
2452687,45986,1308,271040,1200531,3898,150478,144,84,11109649,81,21.84,21.84,15.06,0.00,1219.86,1769.04,1769.04,85.39,0.00,1219.86,1305.25,-549.18
2452409,44592,52159,648748,74121,1074,175676,2,517,9298140,59,27.05,58.15,21.51,0.00,1269.09,1595.95,3430.85,50.76,0.00,1269.09,1319.85,-326.86
2451524,52575,54877,325597,706643,1557,160310,80,62,3883479,42,32.26,62.58,59.45,0.00,2496.90,1354.92,2628.36,124.84,0.00,2496.90,2621.74,1141.98
2450954,73380,2000,168102,868534,1212,25228,128,293,758015,80,1.00,1.21,0.00,0.00,0.00,80.00,96.80,0.00,0.00,0.00,0.00,-80.00
2451123,44243,54877,277782,208630,1100,200395,144,241,1590909,27,27.05,66.81,46.09,0.00,1244.43,730.35,1803.87,87.11,0.00,1244.43,1331.54,514.08
2452269,63036,60819,654602,170741,1182,50014,20,508,8781210,96,11.42,21.01,18.90,0.00,1814.40,1096.32,2016.96,108.86,0.00,1814.40,1923.26,718.08
2450850,70462,14834,26952,740131,5450,26971,55,20,303940,73,21.84,44.77,21.48,0.00,1568.04,1594.32,3268.21,47.04,0.00,1568.04,1615.08,-26.28
2451987,60131,30463,430087,1316905,4668,3714,144,255,6941186,95,89.57,127.18,127.18,5316.12,12082.10,8509.15,12082.10,608.93,5316.12,6765.98,7374.91,-1743.17
2452095,69704,25811,521313,1815701,1814,30001,32,445,7862747,38,89.57,108.37,34.67,869.52,1317.46,3403.66,4118.06,17.91,869.52,447.94,465.85,-2955.72
2451244,39174,46633,582638,199473,5525,29689,22,73,2485347,87,27.05,41.11,13.15,0.00,1144.05,2353.35,3576.57,57.20,0.00,1144.05,1201.25,-1209.30
2450828,60784,51272,116170,1793883,608,175252,7,276,118391,54,53.10,69.56,47.99,2435.97,2591.46,2867.40,3756.24,12.43,2435.97,155.49,167.92,-2711.91
2451623,43375,54877,161198,661511,713,278884,20,105,4386859,87,42.68,42.68,6.82,178.00,593.34,3713.16,3713.16,12.46,178.00,415.34,427.80,-3297.82
2451991,,26647,682699,,1891,,,245,6976520,47,27.05,27.05,,0.00,,,1271.35,0.00,0.00,76.14,76.14,-1195.21
2451984,61462,14835,579533,723972,1908,69956,91,16,6925046,36,42.68,91.76,10.09,0.00,363.24,1536.48,3303.36,3.63,0.00,363.24,366.87,-1173.24
2450966,62311,60118,545097,789762,3730,55975,106,227,866825,25,32.26,76.13,4.56,0.00,114.00,806.50,1903.25,5.70,0.00,114.00,119.70,-692.50
2450844,74160,41212,291494,1534884,653,127948,94,464,256655,13,11.42,21.01,14.49,0.00,188.37,148.46,273.13,3.76,0.00,188.37,192.13,39.91
2451965,50640,52689,759717,716979,4841,219867,115,313,6786029,48,89.57,202.42,12.14,518.62,582.72,4299.36,9716.16,4.48,518.62,64.10,68.58,-4235.26
2451890,66301,60818,629383,1132213,4067,299623,80,444,6355323,12,47.89,72.79,34.93,0.00,419.16,574.68,873.48,33.53,0.00,419.16,452.69,-155.52
2451414,35127,28202,690793,1213563,2009,30885,80,333,3469943,29,89.57,98.52,36.45,655.37,1057.05,2597.53,2857.08,32.13,655.37,401.68,433.81,-2195.85
2451884,47586,60818,528525,1153170,1648,4210,144,496,6278045,50,73.94,205.55,32.88,0.00,1644.00,3697.00,10277.50,82.20,0.00,1644.00,1726.20,-2053.00
2451835,51347,19751,274131,1339419,5393,15768,144,306,5745442,41,11.42,23.41,16.15,0.00,662.15,468.22,959.81,6.62,0.00,662.15,668.77,193.93
2451740,53686,9824,456349,751385,1792,29238,144,512,4830222,89,47.89,88.11,32.60,1769.85,2901.40,4262.21,7841.79,45.26,1769.85,1131.55,1176.81,-3130.66
2451769,66863,2627,11866,1026093,650,144051,144,452,5163364,21,27.05,52.47,14.16,0.00,297.36,568.05,1101.87,26.76,0.00,297.36,324.12,-270.69
2451595,65881,14834,742843,213049,2271,232747,144,104,4283893,90,27.05,32.73,20.94,0.00,1884.60,2434.50,2945.70,113.07,0.00,1884.60,1997.67,-549.90
2452424,43250,23067,431353,1313871,3848,322944,86,223,9376914,65,73.94,104.99,38.84,0.00,2524.60,4806.10,6824.35,227.21,0.00,2524.60,2751.81,-2281.50
2451779,51678,26240,96559,1512662,234,56697,144,281,5284984,75,63.52,96.55,76.27,2974.53,5720.25,4764.00,7241.25,192.20,2974.53,2745.72,2937.92,-2018.28
2452687,34656,61207,96439,1239943,4049,175708,144,351,11106925,93,84.36,190.65,150.61,0.00,14006.73,7845.48,17730.45,840.40,0.00,14006.73,14847.13,6161.25
2452495,36551,54507,284399,1861201,5263,186101,55,311,9804858,40,1.00,2.78,0.44,0.00,17.60,40.00,111.20,0.70,0.00,17.60,18.30,-22.40
2452484,52008,51475,764134,286149,3658,283176,32,198,9709291,86,1.00,1.31,0.69,0.00,59.34,86.00,112.66,2.96,0.00,59.34,62.30,-26.66
2452109,52893,25299,387093,1761822,1790,362717,86,304,8017186,18,6.21,13.35,7.07,0.00,127.26,111.78,240.30,3.81,0.00,127.26,131.07,15.48
2451300,50838,41599,311271,85299,5131,84152,144,24,2705907,57,58.31,162.10,153.99,0.00,8777.43,3323.67,9239.70,87.77,0.00,8777.43,8865.20,5453.76
2452529,58529,54877,669911,1433670,687,23427,2,416,10149840,14,42.68,118.65,75.93,0.00,1063.02,597.52,1661.10,53.15,0.00,1063.02,1116.17,465.50
2451211,69828,22768,71599,1423309,1778,210418,94,511,2062371,15,84.36,234.52,37.52,140.70,562.80,1265.40,3517.80,12.66,140.70,422.10,434.76,-843.30
2450959,37467,20036,60706,1236786,4061,48169,76,197,806107,79,21.84,42.36,27.11,0.00,2141.69,1725.36,3346.44,64.25,0.00,2141.69,2205.94,416.33
2451129,41868,8689,127334,678665,688,118552,62,315,1637858,79,89.57,211.38,190.24,0.00,15028.96,7076.03,16699.02,1352.60,0.00,15028.96,16381.56,7952.93
2452087,43892,3953,260605,564221,5853,165629,8,21,7774589,20,58.31,119.53,119.53,0.00,2390.60,1166.20,2390.60,119.53,0.00,2390.60,2510.13,1224.40
2452683,43203,19752,472718,1412633,626,63613,144,76,11075909,43,27.05,52.47,8.39,0.00,360.77,1163.15,2256.21,10.82,0.00,360.77,371.59,-802.38
2450963,66869,48406,305508,706279,4285,48864,86,40,835518,91,27.05,27.05,24.34,0.00,2214.94,2461.55,2461.55,88.59,0.00,2214.94,2303.53,-246.61
2450868,29171,34462,634125,8471,1733,244443,8,415,423510,31,32.26,42.26,4.64,0.00,143.84,1000.06,1310.06,8.63,0.00,143.84,152.47,-856.22
2450815,40634,51272,760159,1224483,4671,34707,144,329,12577,44,84.36,190.65,20.97,0.00,922.68,3711.84,8388.60,73.81,0.00,922.68,996.49,-2789.16
2451226,51640,35132,531200,287005,1059,26982,76,475,2251984,27,53.10,114.16,78.77,0.00,2126.79,1433.70,3082.32,85.07,0.00,2126.79,2211.86,693.09
2451406,34871,4621,589366,1579863,4486,50427,144,1,3388977,96,89.57,164.80,113.71,0.00,10916.16,8598.72,15820.80,327.48,0.00,10916.16,11243.64,2317.44
2450841,34765,3613,332034,1313277,119,58201,136,59,234496,26,58.31,82.80,82.80,0.00,2152.80,1516.06,2152.80,172.22,0.00,2152.80,2325.02,636.74
,37463,19751,501482,,4928,196831,4,63,4848038,,47.89,88.11,28.19,,2001.49,,,120.08,,2001.49,2121.57,-1398.70
2451630,28826,19751,458414,369883,6276,164279,76,413,4402234,73,73.94,89.46,61.72,0.00,4505.56,5397.62,6530.58,135.16,0.00,4505.56,4640.72,-892.06
2452119,66251,41213,704713,204851,1915,144347,50,234,8127676,22,94.78,203.77,193.58,0.00,4258.76,2085.16,4482.94,383.28,0.00,4258.76,4642.04,2173.60
2452078,39263,53791,472713,1199285,291,279022,86,222,7667185,12,27.05,66.81,32.06,0.00,384.72,324.60,801.72,15.38,0.00,384.72,400.10,60.12
2452569,62054,18342,87815,1176271,4193,20819,86,318,10508923,86,58.31,168.51,26.96,0.00,2318.56,5014.66,14491.86,208.67,0.00,2318.56,2527.23,-2696.10
2451006,38667,15290,193574,1314019,6469,29431,144,361,1199878,69,100.00,236.00,87.32,0.00,6025.08,6900.00,16284.00,421.75,0.00,6025.08,6446.83,-874.92
2451893,51857,60818,475309,1730320,3900,101196,32,188,6393738,12,79.15,120.30,76.99,0.00,923.88,949.80,1443.60,55.43,0.00,923.88,979.31,-25.92
